transit_timestamp,bus_route,ridership,transfers
09/21/2022 05:00:00 PM,BX12+,1287,280
05/15/2022 05:00:00 AM,BX12+,9,2
10/03/2022 08:00:00 PM,BX12+,291,33
04/12/2023 05:00:00 AM,BX12+,154,23
10/17/2022 09:00:00 AM,BX12+,981,198
05/12/2022 09:00:00 PM,BX12+,268,52
08/21/2023 02:00:00 AM,BX12+,0,0
10/16/2020 02:00:00 AM,BX12+,0,0
05/20/2024 11:00:00 AM,BX12+,562,125
09/07/2021 06:00:00 AM,BX12+,831,118
05/24/2024 05:00:00 AM,BX12+,118,13
02/15/2023 11:00:00 AM,BX12+,796,178
02/06/2023 12:00:00 AM,BX12+,2,1
04/25/2024 04:00:00 PM,BX12+,855,187
03/06/2022 10:00:00 PM,BX12+,95,12
07/05/2023 08:00:00 AM,BX12+,1332,262
09/26/2023 04:00:00 PM,BX12+,972,153
09/02/2020 12:00:00 AM,BX12+,6,0
07/06/2022 09:00:00 AM,BX12+,989,217
03/14/2022 07:00:00 AM,BX12+,1695,249
10/03/2024 01:00:00 AM,BX12+,0,0
02/26/2021 01:00:00 AM,BX12+,0,0
09/06/2023 01:00:00 AM,BX12+,1,1
12/20/2024 08:00:00 PM,BX12+,208,34
01/21/2024 12:00:00 AM,BX12+,1,1
04/18/2021 01:00:00 PM,BX12+,935,168
04/14/2024 07:00:00 PM,BX12+,306,64
02/25/2024 09:00:00 AM,BX12+,321,41
05/19/2023 08:00:00 PM,BX12+,386,60
09/16/2024 03:00:00 PM,BX12+,987,178
07/07/2021 03:00:00 PM,BX12+,1200,231
05/13/2021 12:00:00 AM,BX12+,0,0
03/07/2021 09:00:00 AM,BX12+,432,61
11/17/2021 01:00:00 PM,BX12+,1166,218
12/08/2020 04:00:00 PM,BX12+,1151,233
12/31/2024 12:00:00 AM,BX12+,6,3
12/07/2022 06:00:00 AM,BX12+,965,162
01/15/2024 07:00:00 AM,BX12+,484,74
12/13/2024 05:00:00 AM,BX12+,117,10
10/07/2022 12:00:00 AM,BX12+,0,0
10/23/2021 07:00:00 AM,BX12+,639,91
10/04/2021 05:00:00 PM,BX12+,1266,222
08/14/2021 04:00:00 PM,BX12+,930,151
01/03/2022 09:00:00 AM,BX12+,0,0
12/03/2022 04:00:00 AM,BX12+,0,0
04/30/2024 02:00:00 PM,BX12+,767,144
11/08/2023 08:00:00 AM,BX12+,1146,210
11/26/2020 05:00:00 PM,BX12+,438,79
05/18/2022 01:00:00 PM,BX12+,1092,205
07/19/2024 06:00:00 AM,BX12+,496,69
12/05/2023 03:00:00 PM,BX12+,966,177
10/30/2020 01:00:00 AM,BX12+,0,0
03/01/2024 03:00:00 AM,BX12+,0,0
12/02/2022 01:00:00 PM,BX12+,960,180
06/08/2022 08:00:00 PM,BX12+,510,76
04/11/2021 05:00:00 AM,BX12+,7,0
01/03/2024 08:00:00 PM,BX12+,202,42
08/26/2022 08:00:00 AM,BX12+,1384,247
05/06/2022 03:00:00 AM,BX12+,0,0
02/19/2021 08:00:00 AM,BX12+,1091,185
10/30/2024 12:00:00 AM,BX12+,7,4
07/31/2021 08:00:00 PM,BX12+,530,70
05/01/2021 05:00:00 PM,BX12+,868,140
04/20/2021 01:00:00 AM,BX12+,0,0
07/31/2021 06:00:00 PM,BX12+,732,104
06/15/2024 04:00:00 AM,BX12+,0,0
09/06/2024 01:00:00 AM,BX12+,1,1
07/09/2022 12:00:00 AM,BX12+,1,0
11/26/2021 04:00:00 PM,BX12+,1073,167
08/16/2023 09:00:00 AM,BX12+,823,166
05/22/2021 11:00:00 PM,BX12+,72,12
04/02/2024 09:00:00 PM,BX12+,101,18
10/12/2021 12:00:00 AM,BX12+,3,2
08/16/2024 10:00:00 PM,BX12+,72,11
03/27/2021 10:00:00 PM,BX12+,137,23
