transit_timestamp,bus_route,ridership,transfers
03/02/2025 01:00:00 AM,BX12+,0,0
03/17/2025 03:00:00 AM,BX12+,0,0
06/10/2025 03:00:00 PM,BX12+,2028,449
04/17/2025 11:00:00 AM,BX12+,766,201
02/08/2025 02:00:00 AM,BX12+,0,0
07/21/2025 12:00:00 AM,BX12+,30,12
04/30/2025 02:00:00 PM,BX12+,1022,225
07/17/2025 01:00:00 PM,BX12+,1738,370
04/22/2025 10:00:00 PM,BX12+,86,18
04/19/2025 06:00:00 AM,BX12+,185,26
06/11/2025 06:00:00 AM,BX12+,2456,418
01/17/2025 12:00:00 PM,BX12+,665,153
03/25/2025 07:00:00 PM,BX12+,461,104
05/23/2025 10:00:00 PM,BX12+,196,43
05/21/2025 10:00:00 PM,BX12+,139,47
01/06/2025 01:00:00 AM,BX12+,1,0
02/14/2025 10:00:00 AM,BX12+,707,156
05/28/2025 03:00:00 PM,BX12+,1901,390
02/26/2025 10:00:00 PM,BX12+,67,13
03/01/2025 08:00:00 AM,BX12+,663,113
01/22/2025 05:00:00 PM,BX12+,732,149
08/19/2025 12:00:00 PM,BX12+,1595,346
05/15/2025 01:00:00 PM,BX12+,2114,320
03/22/2025 07:00:00 AM,BX12+,552,105
05/13/2025 05:00:00 PM,BX12+,1811,252
05/12/2025 04:00:00 PM,BX12+,2407,435
05/08/2025 07:00:00 AM,BX12+,3076,398
03/22/2025 03:00:00 AM,BX12+,0,0
01/22/2025 08:00:00 AM,BX12+,1035,246
02/28/2025 08:00:00 AM,BX12+,1233,293
09/01/2025 05:00:00 AM,BX12+,0,0
08/27/2025 08:00:00 AM,BX12+,1448,375
08/11/2025 08:00:00 AM,BX12+,2855,760
08/22/2025 08:00:00 PM,BX12+,753,172
03/24/2025 08:00:00 PM,BX12+,282,52
01/25/2025 02:00:00 AM,BX12+,0,0
02/04/2025 07:00:00 AM,BX12+,0,0
07/02/2025 11:00:00 AM,BX12+,1488,378
06/29/2025 06:00:00 AM,BX12+,226,24
06/25/2025 12:00:00 PM,BX12+,1562,290
01/17/2025 10:00:00 PM,BX12+,62,13
08/31/2025 04:00:00 PM,BX12+,0,0
01/08/2025 07:00:00 AM,BX12+,1021,160
02/01/2025 11:00:00 PM,BX12+,0,0
03/30/2025 11:00:00 PM,BX12+,14,4
04/25/2025 04:00:00 PM,BX12+,1122,229
01/19/2025 02:00:00 AM,BX12+,0,0
04/25/2025 01:00:00 AM,BX12+,0,0
03/20/2025 09:00:00 AM,BX12+,748,191
02/13/2025 02:00:00 AM,BX12+,0,0
04/09/2025 01:00:00 AM,BX12+,0,0
04/12/2025 06:00:00 PM,BX12+,444,110
07/11/2025 08:00:00 PM,BX12+,695,134
01/09/2025 05:00:00 AM,BX12+,100,14
07/12/2025 09:00:00 PM,BX12+,494,139
01/17/2025 09:00:00 PM,BX12+,123,33
03/18/2025 05:00:00 AM,BX12+,145,11
03/15/2025 11:00:00 AM,BX12+,670,130
01/29/2025 05:00:00 AM,BX12+,0,0
03/22/2025 06:00:00 AM,BX12+,202,34
03/07/2025 09:00:00 PM,BX12+,203,52
03/17/2025 09:00:00 PM,BX12+,171,37
01/04/2025 01:00:00 PM,BX12+,514,115
03/14/2025 09:00:00 AM,BX12+,800,180
06/16/2025 08:00:00 PM,BX12+,738,166
02/17/2025 03:00:00 PM,BX12+,911,167
04/20/2025 09:00:00 AM,BX12+,368,63
01/13/2025 05:00:00 PM,BX12+,745,149
06/08/2025 08:00:00 AM,BX12+,916,202
01/06/2025 02:00:00 PM,BX12+,694,131
05/08/2025 11:00:00 AM,BX12+,1368,231
