Year,Month,Timestamp,Day of Week,Hour of Day,Route ID,Direction,Borough,Route Type,Stop Order,Timepoint Stop ID,Timepoint Stop Name,Timepoint Stop Latitude,Timepoint Stop Longitude,Next Timepoint Stop ID,Next Timepoint Stop Name,Next Timepoint Stop Latitude,Next Timepoint Stop Longitude,Road Distance,Average Travel Time,Average Road Speed,Bus Trip Count,Timepoint Stop Georeference,Next Timepoint Stop Georeference
2024,5,05/01/2024 09:00:00 AM,Wednesday,9,BX12+,W,Bronx,SBS,1,802025,BAY PLAZA BL/IFO JC PENNY,40.865989,-73.827298,103255,EDSON AV/BARTOW AV,40.86805,-73.83312,0.723,5.587698,7.763482486656275,42,POINT (-73.827298 40.865989),POINT (-73.83312 40.86805)
2024,5,05/01/2024 12:00:00 PM,Wednesday,12,BX12+,W,Bronx,SBS,1,802025,BAY PLAZA BL/IFO JC PENNY,40.865989,-73.827298,103255,EDSON AV/BARTOW AV,40.86805,-73.83312,0.723,6.294678,6.891533337267759,47,POINT (-73.827298 40.865989),POINT (-73.83312 40.86805)
2024,5,05/01/2024 03:00:00 PM,Wednesday,15,BX12+,W,Bronx,SBS,1,802025,BAY PLAZA BL/IFO JC PENNY,40.865989,-73.827298,103255,EDSON AV/BARTOW AV,40.86805,-73.83312,0.723,6.699042,6.47555544991469,52,POINT (-73.827298 40.865989),POINT (-73.83312 40.86805)
2024,5,05/01/2024 04:00:00 PM,Wednesday,16,BX12+,W,Bronx,SBS,1,802025,BAY PLAZA BL/IFO JC PENNY,40.865989,-73.827298,103255,EDSON AV/BARTOW AV,40.86805,-73.83312,0.723,6.850362,6.332512304015428,46,POINT (-73.827298 40.865989),POINT (-73.83312 40.86805)
2024,5,05/01/2024 05:00:00 PM,Wednesday,17,BX12+,W,Bronx,SBS,1,802025,BAY PLAZA BL/IFO JC PENNY,40.865989,-73.827298,103255,EDSON AV/BARTOW AV,40.86805,-73.83312,0.723,6.49326,6.68077097524393,47,POINT (-73.827298 40.865989),POINT (-73.83312 40.86805)
2024,5,05/01/2024 09:00:00 PM,Wednesday,21,BX12+,W,Bronx,SBS,1,802025,BAY PLAZA BL/IFO JC PENNY,40.865989,-73.827298,103255,EDSON AV/BARTOW AV,40.86805,-73.83312,0.723,5.987676,7.24488035425805,23,POINT (-73.827298 40.865989),POINT (-73.83312 40.86805)
2024,5,05/01/2024 08:00:00 PM,Wednesday,20,BX12+,W,Bronx,SBS,1,802025,BAY PLAZA BL/IFO JC PENNY,40.865989,-73.827298,103255,EDSON AV/BARTOW AV,40.86805,-73.83312,0.723,6.447852,6.727824339937485,31,POINT (-73.827298 40.865989),POINT (-73.83312 40.86805)
2024,5,05/01/2024 06:00:00 PM,Wednesday,18,BX12+,W,Bronx,SBS,1,802025,BAY PLAZA BL/IFO JC PENNY,40.865989,-73.827298,103255,EDSON AV/BARTOW AV,40.86805,-73.83312,0.723,6.44079,6.73520028358738,38,POINT (-73.827298 40.865989),POINT (-73.83312 40.86805)
2024,5,05/01/2024 02:00:00 PM,Wednesday,14,BX12+,W,Bronx,SBS,1,802025,BAY PLAZA BL/IFO JC PENNY,40.865989,-73.827298,103255,EDSON AV/BARTOW AV,40.86805,-73.83312,0.723,7.50267,5.781943478343622,50,POINT (-73.827298 40.865989),POINT (-73.83312 40.86805)
2024,5,05/01/2024 07:00:00 PM,Wednesday,19,BX12+,W,Bronx,SBS,1,802025,BAY PLAZA BL/IFO JC PENNY,40.865989,-73.827298,103255,EDSON AV/BARTOW AV,40.86805,-73.83312,0.723,6.394074,6.784407644162147,45,POINT (-73.827298 40.865989),POINT (-73.83312 40.86805)
